Bought_Or_Not,Recency,Frequency,Monetary_Value,Mean_Quantity,ActivationDate,Age,SubscribedEmail,SubscribedPush,Male
0.0,160.0,8.142857142857142,251.78947368421052,1.0350877192982457,735599,24.0,False,True,0
0.0,720.0,4.857142857142857,279.6470588235294,1.0,735599,46.0,True,True,1
1.0,15.0,4.714285714285714,398.7348484848485,1.6666666666666667,735599,27.0,True,True,0
0.0,177.0,14.142857142857142,262.7373737373738,1.1414141414141414,735599,54.0,True,True,0
1.0,115.0,3.0,393.7142857142857,1.8095238095238095,735599,48.0,False,False,1
1.0,28.0,26.285714285714285,295.4021739130435,1.3043478260869565,735599,25.0,True,True,0
0.0,371.0,5.4,263.72222222222223,1.1111111111111112,735599,27.0,False,True,1
1.0,364.0,6.714285714285714,177.27659574468086,1.297872340425532,735599,34.0,True,False,0
0.0,56.0,5.2727272727272725,224.6551724137931,1.0517241379310345,735599,35.0,False,True,0
0.0,171.0,13.0,295.40384615384613,1.0961538461538463,735599,22.0,True,True,1
0.0,553.0,2.5714285714285716,337.22222222222223,1.1666666666666667,735599,21.0,False,True,0
0.0,153.0,9.142857142857142,332.62500000000006,1.15625,735599,35.0,True,True,0
1.0,41.0,55.5,217.96996996996992,1.2822822822822824,735599,35.0,True,True,0
0.0,282.0,9.125,385.46575342465746,1.4383561643835616,735599,21.0,True,True,0
1.0,19.0,13.444444444444445,210.18181818181822,1.1487603305785123,735599,36.0,False,True,1
0.0,315.0,4.583333333333333,337.0361818181818,1.2363636363636363,735599,37.0,True,True,0
0.0,45.0,35.142857142857146,201.01016260162604,1.1504065040650406,735599,23.0,True,True,0
1.0,83.0,2.4545454545454546,174.8148148148148,2.740740740740741,735599,27.0,False,True,0
0.0,389.0,6.0,250.17000000000002,1.0333333333333334,735599,35.0,True,True,1
1.0,1.0,7.666666666666667,298.7826086956522,1.3478260869565217,735599,21.0,True,True,0
1.0,126.0,9.857142857142858,235.94202898550728,1.4057971014492754,735599,22.0,False,False,0
0.0,116.0,4.571428571428571,280.53125,1.15625,735599,22.0,True,True,1
1.0,11.0,27.0,356.02777777777777,1.287037037037037,735599,30.0,True,True,0
1.0,27.0,16.4,263.7926829268293,1.2195121951219512,735599,36.0,True,False,1
1.0,8.0,4.75,267.2631578947368,2.4035087719298245,735599,32.0,False,False,0
0.0,281.0,7.428571428571429,303.63461538461536,1.3846153846153846,735599,38.0,True,True,1
0.0,408.0,2.857142857142857,338.1,1.15,735599,35.0,False,False,1
1.0,102.0,1.5833333333333333,366.52631578947364,1.3157894736842106,735599,26.0,False,False,1
1.0,21.0,6.857142857142857,308.3958333333333,1.75,735599,26.0,False,False,0
0.0,412.0,3.4285714285714284,209.125,1.0416666666666667,735599,32.0,False,True,0
0.0,618.0,6.428571428571429,398.6,1.3555555555555556,735599,27.0,False,False,0
0.0,249.0,8.0,351.25,1.25,735599,29.0,True,True,0
0.0,693.0,3.142857142857143,320.54545454545456,1.0,735599,30.0,False,False,1
1.0,32.0,10.571428571428571,354.62162162162156,1.3108108108108107,735599,29.0,False,True,0
0.0,104.0,6.142857142857143,350.906976744186,1.3953488372093024,735599,48.0,True,False,1
1.0,59.0,9.333333333333334,372.39285714285717,1.2678571428571428,735599,23.0,True,False,0
1.0,912.0,1.1428571428571428,391.25,2.125,735599,28.0,True,True,0
1.0,104.0,14.5,302.1034482758621,1.1724137931034482,735599,29.0,False,False,0
1.0,42.0,5.571428571428571,348.4615384615384,1.205128205128205,735599,33.0,False,False,1
0.0,100.0,2.5714285714285716,277.77777777777777,1.3333333333333333,735599,24.0,True,True,0
1.0,39.0,9.0,272.6190476190476,1.1904761904761905,735599,23.0,False,False,1
0.0,762.0,3.142857142857143,262.18181818181824,1.0909090909090908,735599,30.0,True,True,0
0.0,793.0,4.333333333333333,232.0,1.1153846153846154,735600,32.0,False,False,1
0.0,653.0,4.0,383.2916666666667,1.2083333333333333,735600,28.0,True,False,0
0.0,678.0,5.666666666666667,276.02941176470586,1.0294117647058822,735600,23.0,True,True,1
1.0,14.0,12.636363636363637,234.15827338129492,1.1798561151079137,735600,49.0,True,True,0
1.0,738.0,3.0,244.5,2.1666666666666665,735600,30.0,True,True,0
0.0,155.0,5.0,394.5666666666667,1.2,735600,45.0,False,True,0
1.0,713.0,1.6666666666666667,215.5,2.8,735600,33.0,True,True,0
1.0,98.0,39.5,301.2109704641351,1.4514767932489452,735600,38.0,False,False,0
1.0,27.0,8.166666666666666,316.55102040816325,1.5918367346938775,735600,37.0,True,True,0
0.0,363.0,17.333333333333332,291.3076923076923,1.0480769230769231,735600,21.0,False,True,0
1.0,12.0,20.666666666666668,294.30645161290306,1.467741935483871,735600,30.0,True,True,0
1.0,79.0,17.0,279.9852941176471,1.5735294117647058,735600,30.0,False,False,0
1.0,25.0,6.333333333333333,183.6315789473684,1.2105263157894737,735600,33.0,False,False,0
1.0,741.0,5.714285714285714,274.87475,1.325,735600,31.0,True,True,0
1.0,3.0,32.166666666666664,154.71502590673575,1.3678756476683938,735600,21.0,True,True,1
0.0,888.0,2.6666666666666665,209.18750000000003,1.0,735600,27.0,True,False,0
0.0,178.0,5.833333333333333,356.8285714285714,1.3428571428571427,735600,28.0,True,False,1
0.0,238.0,6.166666666666667,260.0000000000001,1.054054054054054,735600,26.0,False,True,0
0.0,311.0,5.666666666666667,270.05882352941177,1.2058823529411764,735600,22.0,False,True,1
0.0,765.0,4.166666666666667,550.24,1.52,735600,25.0,True,True,1
1.0,8.0,14.571428571428571,277.0980392156862,1.2058823529411764,735600,26.0,False,False,0
1.0,173.0,31.75,365.37007874015734,1.3385826771653544,735600,45.0,True,True,0
0.0,297.0,17.666666666666668,373.40566037735863,1.0849056603773586,735600,28.0,True,False,1
0.0,720.0,3.8333333333333335,304.17391304347825,1.0434782608695652,735600,23.0,True,True,1
1.0,14.0,53.166666666666664,288.20532915360513,1.6677115987460815,735600,24.0,False,False,1
1.0,416.0,16.0,306.875,1.2708333333333333,735600,29.0,True,False,0
0.0,599.0,2.6666666666666665,317.125,1.0,735600,30.0,False,False,1
0.0,295.0,13.833333333333334,321.17469879518075,1.1686746987951808,735600,24.0,True,True,1
1.0,111.0,2.0,480.25,2.75,735600,31.0,True,True,1
1.0,154.0,2.7142857142857144,426.1578947368421,1.4736842105263157,735600,26.0,True,True,0
1.0,67.0,36.833333333333336,168.11764705882354,1.1312217194570136,735600,48.0,False,False,1
0.0,712.0,2.8333333333333335,262.3529411764706,1.1764705882352942,735600,37.0,True,False,1
1.0,204.0,12.0,396.3055555555555,1.2222222222222223,735600,32.0,False,False,0
0.0,251.0,9.333333333333334,284.9642857142857,1.1964285714285714,735600,39.0,True,True,1
1.0,339.0,56.4,155.78723404255322,1.5319148936170213,735600,36.0,False,True,1
0.0,394.0,3.5,236.52380952380952,1.1428571428571428,735600,31.0,True,True,0
0.0,27.0,25.0,375.7600000000001,1.12,735600,21.0,False,False,0
0.0,118.0,15.333333333333334,377.98369565217394,1.2934782608695652,735600,24.0,False,True,1
1.0,10000.0,0.0,0.0,0.0,735600,32.0,True,True,0
0.0,493.0,13.333333333333334,259.9,1.1875,735600,29.0,False,False,0
1.0,34.0,16.666666666666668,371.56,1.38,735600,34.0,True,True,0
1.0,129.0,7.0,332.5,1.3571428571428572,735600,31.0,True,False,1
1.0,7.0,62.833333333333336,256.0238726790451,1.2785145888594165,735600,45.0,True,True,0
0.0,650.0,5.0,212.1999999999999,1.0666666666666667,735600,29.0,True,True,1
0.0,846.0,2.6666666666666665,278.6875,1.0625,735600,22.0,True,False,0
0.0,42.0,5.25,332.38095238095235,1.0714285714285714,735600,22.0,True,True,1
1.0,7.0,21.6,309.787037037037,1.3425925925925926,735600,22.0,False,True,1
0.0,679.0,7.2,354.5277777777778,1.1111111111111112,735600,33.0,True,True,1
0.0,496.0,16.333333333333332,333.2857142857142,1.2346938775510203,735600,45.0,True,True,0
0.0,903.0,6.5,389.5897435897436,1.4615384615384615,735600,19.0,False,False,1
1.0,23.0,15.2,361.96052631578954,1.513157894736842,735600,52.0,False,False,0
0.0,405.0,4.0,310.9166666666667,1.0833333333333333,735600,30.0,False,False,0
0.0,651.0,5.0,411.6000000000001,1.2,735600,43.0,False,False,1
0.0,541.0,1.8333333333333333,280.27272727272725,1.2727272727272727,735600,35.0,False,False,1
0.0,777.0,3.8333333333333335,301.60869565217394,1.0869565217391304,735600,28.0,True,True,1
0.0,287.0,2.6666666666666665,319.125,1.125,735600,26.0,False,True,0
0.0,645.0,8.166666666666666,253.59183673469383,1.1428571428571428,735600,40.0,False,False,0
0.0,651.0,7.166666666666667,372.69767441860466,1.302325581395349,735600,49.0,False,False,0
1.0,34.0,14.8,350.3108108108108,1.472972972972973,735600,36.0,True,True,0
0.0,395.0,3.3333333333333335,225.45,1.1,735600,21.0,False,False,0
0.0,76.0,5.0,323.9669999999999,1.0666666666666667,735600,60.0,True,True,0
1.0,6.0,17.666666666666668,284.877358490566,1.2547169811320755,735600,26.0,False,True,0
0.0,699.0,2.7142857142857144,218.57894736842104,1.0,735600,53.0,True,False,1
1.0,166.0,2.5,325.26666666666665,1.9333333333333333,735600,29.0,False,False,0
0.0,127.0,4.5,457.962962962963,1.3333333333333333,735600,21.0,True,True,0
0.0,647.0,2.3333333333333335,159.50000000000003,1.0714285714285714,735600,27.0,False,True,0
1.0,69.0,10.833333333333334,274.9384615384616,1.0769230769230769,735600,39.0,False,False,1
0.0,112.0,23.0,349.82608695652175,1.065217391304348,735600,51.0,False,True,0
0.0,54.0,30.0,639.3,3.2666666666666666,735600,32.0,True,True,0
1.0,16.0,20.0,293.51666666666665,1.2583333333333333,735600,29.0,True,True,0
1.0,456.0,1.5,250.0,3.6666666666666665,735600,29.0,False,False,1
1.0,5.0,18.0,210.3333333333333,2.111111111111111,735600,41.0,True,True,0
0.0,13.0,28.833333333333332,236.57803468208093,1.1445086705202312,735600,33.0,True,False,1
0.0,882.0,2.6666666666666665,350.25,1.125,735600,21.0,True,True,0
0.0,566.0,3.75,363.26666666666665,1.2,735600,40.0,True,True,0
1.0,3.0,10.363636363636363,592.859649122807,1.3859649122807018,735600,51.0,True,True,0
0.0,166.0,4.5,180.03703703703704,1.037037037037037,735600,47.0,False,False,1
1.0,298.0,9.166666666666666,260.5409090909091,1.1636363636363636,735600,28.0,True,False,1
1.0,91.0,3.8333333333333335,471.95652173913044,1.173913043478261,735600,27.0,False,True,1
0.0,43.0,7.166666666666667,334.8139534883721,1.1627906976744187,735600,26.0,True,False,0
1.0,153.0,3.6666666666666665,374.3181818181818,1.5454545454545454,735600,32.0,True,True,0
1.0,61.0,0.8333333333333334,420.6,1.8,735600,32.0,True,True,0
1.0,248.0,6.0,405.72222222222223,2.4166666666666665,735601,29.0,True,True,1
1.0,35.0,7.5,300.06666666666666,1.6,735601,34.0,False,True,0
0.0,826.0,1.5,288.66666666666663,1.1111111111111112,735601,38.0,True,False,1
1.0,86.0,39.333333333333336,211.10165254237288,1.1779661016949152,735601,38.0,True,False,1
1.0,29.0,8.0,369.1458333333334,2.1458333333333335,735601,47.0,True,False,1
1.0,7.0,33.333333333333336,201.69500000000005,1.27,735601,21.0,True,True,0
1.0,35.0,18.833333333333332,176.7920353982301,1.2035398230088497,735601,36.0,True,True,1
0.0,294.0,12.833333333333334,386.51948051948045,1.2337662337662338,735601,43.0,True,False,1
1.0,22.0,45.666666666666664,275.9635036496351,1.2846715328467153,735601,38.0,True,True,0
0.0,273.0,18.333333333333332,308.7456363636365,1.0545454545454545,735601,30.0,True,False,1
1.0,381.0,3.6666666666666665,265.90909090909093,1.5454545454545454,735601,34.0,False,True,0
1.0,2.0,24.666666666666668,416.62162162162156,1.4864864864864864,735601,27.0,False,True,0
1.0,115.0,11.0,268.96363636363634,1.1090909090909091,735601,28.0,True,False,0
1.0,29.0,29.666666666666668,282.5337078651686,1.3932584269662922,735601,46.0,False,False,1
0.0,5.0,15.0,342.2,1.1888888888888889,735601,24.0,False,True,0
1.0,767.0,2.0,365.3333333333333,2.1666666666666665,735601,36.0,True,True,1
1.0,441.0,3.3333333333333335,278.3,1.55,735601,26.0,False,False,1
1.0,1.0,103.5,127.08127214170698,1.183574879227053,735601,33.0,False,False,0
0.0,10.0,10.333333333333334,377.3709677419355,1.3064516129032258,735601,28.0,True,True,1
1.0,107.0,7.166666666666667,543.9534883720929,1.558139534883721,735601,27.0,True,True,0
1.0,34.0,8.166666666666666,445.2857142857143,1.2448979591836735,735601,28.0,False,True,1
0.0,665.0,23.0,178.6086956521739,1.0,735601,45.0,True,True,1
0.0,651.0,4.2,384.42857142857144,1.4285714285714286,735601,16.0,True,False,1
1.0,54.0,10.333333333333334,306.5161290322581,1.3064516129032258,735601,26.0,False,False,1
0.0,459.0,3.0,269.27777777777777,1.0555555555555556,735601,34.0,True,True,1
0.0,86.0,0.625,340.2,1.0,735601,51.0,True,False,1
0.0,418.0,11.0,255.34848484848484,1.2575757575757576,735601,35.0,True,False,1
1.0,2.0,2.3333333333333335,501.7142857142857,4.285714285714286,735601,118.0,False,False,0
0.0,33.0,7.333333333333333,192.9090909090909,1.0,735601,21.0,True,True,1
1.0,131.0,12.833333333333334,321.1948051948052,1.077922077922078,735601,23.0,True,True,0
0.0,695.0,7.5,199.0,1.0888888888888888,735601,21.0,True,True,0
